workerid,trial_type,stim_type,trial_num,trial_prompt,stim_category0,stim_category1,stim_category2,stim_category3,stim_category4,slider1,slider2,stim_color,slider0,slider3,slider4,stim_part
35,prior_elicitation,bare,1,catprop,luzaks,morseths,mooks,kazzes,zoovs,0.24,0.21,orange,0.2,0.24,0.21,shells
35,prior_elicitation,nondistinctive,2,catprop,ackles,javs,krivels,moxes,stups,0.09,0.47,silver,0.24,0.4,0.16,legs
35,prior_elicitation,bare,3,catprop,feps,glippets,frams,ollers,cheebas,0.39,0.19,pink,0.31,0.31,0.65,legs
35,prior_elicitation,danger-distinct,4,catprop,lorches,noobs,taifels,ludinos,blins,0.08,0.03,purple,0.05,0.12,0.09,feathers
35,prior_elicitation,danger-distinct,5,catprop,kweps,plovs,dorbs,trufts,thups,0.98,0.03,copper,0.02,0.02,0.01,fur
36,prior_elicitation,bare,0,catprop,zoovs,lorches,thups,noobs,sapers,0.33,0.41,green,0.06,0.13,0.6,teeth
36,prior_elicitation,bare,1,catprop,trufts,moxes,ludinos,mooks,javs,0,0.52,green,0,0.38,0.26,tails
36,prior_elicitation,danger-distinct,2,catprop,ackles,kazzes,feps,taifels,blins,0.05,0.05,silver,0.18,0.1,0.07,legs
36,prior_elicitation,nondistinctive,3,catprop,elleps,luzaks,daiths,reesles,ollers,0,0.12,pink,0.01,0.3,0.74,ears
36,prior_elicitation,danger-distinct,4,catprop,krivels,glippets,zorbs,frams,plovs,0.6,0.03,pink,0.03,0.08,0.1,teeth
36,prior_elicitation,nondistinctive,5,catprop,morseths,kweps,dorbs,stups,cheebas,0.08,0.15,silver,0.32,0.7,0.46,fur
37,prior_elicitation,danger-distinct,0,catprop,ackles,zorbs,ludinos,daiths,luzaks,0.13,0.14,silver,0.13,0.13,0.13,legs
37,prior_elicitation,nondistinctive,1,catprop,frams,glippets,dorbs,krivels,lorches,0.52,0.12,silver,0.13,0.15,0.16,stripes
37,prior_elicitation,bare,2,catprop,plovs,javs,kazzes,sapers,mooks,0.42,0.2,gold,0.19,0.21,0.21,feathers
37,prior_elicitation,bare,3,catprop,kweps,trufts,taifels,noobs,ollers,0.53,0.23,copper,0.25,0.26,0.28,fur
37,prior_elicitation,danger-distinct,4,catprop,cheebas,reesles,blins,moxes,feps,0.12,0.17,blue,0.1,0.15,0.13,ears
37,prior_elicitation,nondistinctive,5,catprop,thups,zoovs,elleps,stups,morseths,0.2,0.22,blue,0.18,0.21,0.25,teeth
38,prior_elicitation,nondistinctive,0,catprop,ackles,krivels,moxes,elleps,lorches,0.02,0.02,silver,0.52,0,0.53,legs
38,prior_elicitation,nondistinctive,1,catprop,luzaks,reesles,plovs,daiths,zorbs,0.28,0.11,orange,0.49,0.52,0.75,shells
38,prior_elicitation,danger-distinct,2,catprop,glippets,kweps,javs,frams,dorbs,0.78,0.07,copper,0.57,0.73,0.21,spots
38,prior_elicitation,bare,3,catprop,noobs,blins,feps,trufts,sapers,0.02,0.72,red,0.69,0.78,0.03,feathers
38,prior_elicitation,bare,4,catprop,morseths,kazzes,ludinos,ollers,stups,0.82,0.02,silver,0.01,0.03,0.06,fur
38,prior_elicitation,danger-distinct,5,catprop,taifels,thups,mooks,zoovs,cheebas,0.02,0,purple,0.02,0.02,0.99,tails
39,prior_elicitation,danger-distinct,0,catprop,krivels,trufts,blins,glippets,dorbs,0,0,pink,0.79,0.1,0,teeth
39,prior_elicitation,nondistinctive,1,catprop,mooks,ollers,elleps,moxes,frams,0,0.13,copper,0,0.79,0.13,stripes
39,prior_elicitation,bare,2,catprop,feps,luzaks,noobs,stups,plovs,0.24,0.19,pink,0.61,0,0,legs
39,prior_elicitation,danger-distinct,3,catprop,daiths,sapers,ludinos,kazzes,zorbs,0,0,gold,0,0,0.87,stripes
39,prior_elicitation,bare,4,catprop,zoovs,thups,kweps,cheebas,taifels,0.23,0.55,green,0,0,0.16,teeth
39,prior_elicitation,nondistinctive,5,catprop,ackles,reesles,morseths,javs,lorches,0.21,0.75,silver,0,0,0.36,legs
